"marka","klyuch_zamorozki","gruppa","sistema","baza","fajl_tdb","sha256_tdb","metod","nabor","c15_laves_v_nabore","porog","kriterij_solidusa","pdens","pdens_zaproshen","zyorno_scheil","T_sol_K","T_liq_K","T_sol_bisekciya_K","T_sol_zamorozka_K","T_liq_zamorozka_K","vremya_s","pik_pamyati_MiB","otkaz","prichina","vne_predelov_shapki","chislo_faz_v_nabore","fazy_v_nabore","fazy_pod_solidusom","zamechaniya","job_id"
"INCONEL 600","N-3|INCONEL 600","dobor_Ni","Ni","mc_ni_2036","databases/converted/mc_ni_v2036.garcalc.tdb","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","ThermoGar","polnyj","нет","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","1698.31","1700.54","1698.34","1698.4","1700.6","45.9","1394","","","нет","18","ALPHA_MN BCC_B2 BETA_MN CHI_A12 DELTA ETA FCC_A1 GAMMA_DP GAMMA_PRIME HCP_A3 LAVES LAV_C14 LIQUID NI2CR NIAL NITI2 SIGMA TIB2","FCC_A1","","e689184d1aa7e60f"
"INCONEL 600","N-3|INCONEL 600","dobor_Ni","Ni","mc_ni_2036","databases/converted/mc_ni_v2036.garcalc.tdb","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","ThermoGar","polnyj","нет","0.0001","бисекция: доля жидкости ≤ 0.0001","50","50","0","1698.34","1700.54","1698.34","1698.4","1700.6","13.5","1394","","","нет","18","ALPHA_MN BCC_B2 BETA_MN CHI_A12 DELTA ETA FCC_A1 GAMMA_DP GAMMA_PRIME HCP_A3 LAVES LAV_C14 LIQUID NI2CR NIAL NITI2 SIGMA TIB2","FCC_A1","","e689184d1aa7e60f"
"INCONEL 600","N-3|INCONEL 600","dobor_Ni","Ni","mc_ni_2036","databases/converted/mc_ni_v2036.garcalc.tdb","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","ThermoGar","bystryj","нет","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","1698.31","1700.54","1698.34","1698.4","1700.6","35.1","1393","","","нет","15","BCC_B2 CHI_A12 DELTA ETA FCC_A1 GAMMA_DP GAMMA_PRIME HCP_A3 LAVES LAV_C14 LIQUID NI2CR NIAL SIGMA TIB2","FCC_A1","","f7462081e56d04ae"
"INCONEL 600","N-3|INCONEL 600","dobor_Ni","Ni","mc_ni_2036","databases/converted/mc_ni_v2036.garcalc.tdb","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","Lilit-skript","sloj","нет","1e-09","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","1698.4","1700.6","","1698.4","1700.6","8.1","550","","","нет","4","LIQUID FCC_A1 BCC_A2 HCP_A3","FCC_A1","фаза BCC_B2 исключена из расчёта: BCC_B2 базы garcalc объявлена с межузельной подрешёткой, где стоит только VA, а у её разупорядоченной половины BCC_A2 там B, C, N, O, VA. | сторож движущей силы: проверено 28 из 28 пар «фаза-температура» (2 точки, 14 исключённых фаз); минимум 703 Дж/моль у GAMMA_DP","af72df0cc979c590"
"INCONEL 600","N-3|INCONEL 600","dobor_Ni","Ni","mc_ni_2036","databases/converted/mc_ni_v2036.garcalc.tdb","1dc72c5501eb2d9a1778c5a5622728257572a1dcd0ee218c9b4f9a00e0ad08f8","Lilit-skript","sloj","нет","1e-06","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","1698.4","1700.6","","1698.4","1700.6","8.1","543","","","нет","4","LIQUID FCC_A1 BCC_A2 HCP_A3","FCC_A1","фаза BCC_B2 исключена из расчёта: BCC_B2 базы garcalc объявлена с межузельной подрешёткой, где стоит только VA, а у её разупорядоченной половины BCC_A2 там B, C, N, O, VA. | сторож движущей силы: проверено 28 из 28 пар «фаза-температура» (2 точки, 14 исключённых фаз); минимум 703 Дж/моль у GAMMA_DP","1947abca0e8cfdc4"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_patch","databases/converted/fe/mc_fe_v2062.thermogar.tdb","def6c6862458e879b75cabb32e3bfc93a674f981df7c89e5f0e6e40c246620ed","ThermoGar","polnyj","да","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","1671.67","1724.91","1671.71","1664.6","1724.9","196.6","2133","","","нет","41","ALPHA_MN BCC_B2 BCC_DISL BETA_MN BETA_RHOMBO_B C15_LAVES CEMENTITE CHI_A12 CR3MN5 EPS_CARB ETA ETA_CARB FCC_A1 FE24C10 GAMMA_PRIME G_PHASE HCP_A3 H_BCC KSI_CARBIDE KSI_FE5C2 LAVES_PHASE LIQUID M23C6 M3C2 M6C M7C3 MNNI MOB2 MOC_ETA MU_PHASE MU_PHASE_I PD3MN PDFE_L12 PDMN_AF PDMN_B2 PDMN_P R_PHASE SIGMA TIB2 WC ZET","FCC_A1","","5a6abf594fa717cc"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_patch","databases/converted/fe/mc_fe_v2062.thermogar.tdb","def6c6862458e879b75cabb32e3bfc93a674f981df7c89e5f0e6e40c246620ed","ThermoGar","polnyj","да","0.0001","бисекция: доля жидкости ≤ 0.0001","50","50","0","1671.71","1724.91","1671.71","1664.6","1724.9","43.7","2133","","","нет","41","ALPHA_MN BCC_B2 BCC_DISL BETA_MN BETA_RHOMBO_B C15_LAVES CEMENTITE CHI_A12 CR3MN5 EPS_CARB ETA ETA_CARB FCC_A1 FE24C10 GAMMA_PRIME G_PHASE HCP_A3 H_BCC KSI_CARBIDE KSI_FE5C2 LAVES_PHASE LIQUID M23C6 M3C2 M6C M7C3 MNNI MOB2 MOC_ETA MU_PHASE MU_PHASE_I PD3MN PDFE_L12 PDMN_AF PDMN_B2 PDMN_P R_PHASE SIGMA TIB2 WC ZET","FCC_A1","","5a6abf594fa717cc"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_patch","databases/converted/fe/mc_fe_v2062.thermogar.tdb","def6c6862458e879b75cabb32e3bfc93a674f981df7c89e5f0e6e40c246620ed","ThermoGar","bystryj","да","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","1671.67","1724.91","1671.71","1664.6","1724.9","156.5","2401","","","нет","26","BCC_B2 BCC_DISL C15_LAVES CEMENTITE CHI_A12 EPS_CARB ETA ETA_CARB FCC_A1 GAMMA_PRIME G_PHASE HCP_A3 KSI_FE5C2 LAVES_PHASE LIQUID M23C6 M3C2 M6C M7C3 MOC_ETA MU_PHASE MU_PHASE_I R_PHASE SIGMA TIB2 WC","FCC_A1","","5aee49af55ad9568"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_bez_patcha","databases/diagnostic/fe/mc_fe_v2062_unpatched.thermogar.tdb","99b5cd56a52b857521122e93f61baf3caed120d1a37e562902ee6aa12f10692c","ThermoGar","polnyj","да","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","1671.67","1724.91","1671.71","1664.6","1724.9","195.0","2141","","","нет","41","ALPHA_MN BCC_B2 BCC_DISL BETA_MN BETA_RHOMBO_B C15_LAVES CEMENTITE CHI_A12 CR3MN5 EPS_CARB ETA ETA_CARB FCC_A1 FE24C10 GAMMA_PRIME G_PHASE HCP_A3 H_BCC KSI_CARBIDE KSI_FE5C2 LAVES_PHASE LIQUID M23C6 M3C2 M6C M7C3 MNNI MOB2 MOC_ETA MU_PHASE MU_PHASE_I PD3MN PDFE_L12 PDMN_AF PDMN_B2 PDMN_P R_PHASE SIGMA TIB2 WC ZET","FCC_A1","","87fc27c24b91ce4a"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_patch","databases/converted/fe/mc_fe_v2062.thermogar.tdb","def6c6862458e879b75cabb32e3bfc93a674f981df7c89e5f0e6e40c246620ed","ThermoGar-app","polnyj","нет","1e-06","scheil: LIQUID нет в eq.Phase (порог решателя pycalphad)","50","50","0","1671.67","1724.91","1671.71","1664.6","1724.9","184.4","2166","","","нет","40","ALPHA_MN BCC_B2 BCC_DISL BETA_MN BETA_RHOMBO_B CEMENTITE CHI_A12 CR3MN5 EPS_CARB ETA ETA_CARB FCC_A1 FE24C10 GAMMA_PRIME G_PHASE HCP_A3 H_BCC KSI_CARBIDE KSI_FE5C2 LAVES_PHASE LIQUID M23C6 M3C2 M6C M7C3 MNNI MOB2 MOC_ETA MU_PHASE MU_PHASE_I PD3MN PDFE_L12 PDMN_AF PDMN_B2 PDMN_P R_PHASE SIGMA TIB2 WC ZET","FCC_A1","","7b75255d1b4b1c81"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_patch","databases/converted/fe/mc_fe_v2062.thermogar.tdb","def6c6862458e879b75cabb32e3bfc93a674f981df7c89e5f0e6e40c246620ed","Lilit-skript","sloj","нет","1e-09","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","1671.6","1724.9","","1664.6","1724.9","43.5","1999","","","нет","4","LIQUID FCC_A1 BCC_A2 HCP_A3","FCC_A1","сторож движущей силы: проверено 80 из 80 пар «фаза-температура» (2 точки, 40 исключённых фаз); минимум 825 Дж/моль у BCC_B2","de9533f96e726e31"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_patch","databases/converted/fe/mc_fe_v2062.thermogar.tdb","def6c6862458e879b75cabb32e3bfc93a674f981df7c89e5f0e6e40c246620ed","Lilit-skript","sloj","нет","1e-06","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","1671.6","1724.9","","1664.6","1724.9","43.5","1995","","","нет","4","LIQUID FCC_A1 BCC_A2 HCP_A3","FCC_A1","сторож движущей силы: проверено 80 из 80 пар «фаза-температура» (2 точки, 40 исключённых фаз); минимум 825 Дж/моль у BCC_B2","f0283979e041954c"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_bez_patcha","databases/diagnostic/fe/mc_fe_v2062_unpatched.thermogar.tdb","99b5cd56a52b857521122e93f61baf3caed120d1a37e562902ee6aa12f10692c","Lilit-skript","sloj","нет","1e-09","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","1671.6","1724.9","","1664.6","1724.9","43.9","1998","","","нет","4","LIQUID FCC_A1 BCC_A2 HCP_A3","FCC_A1","сторож движущей силы: проверено 80 из 80 пар «фаза-температура» (2 точки, 40 исключённых фаз); минимум 825 Дж/моль у BCC_B2","70941709e39e1a7d"
"40Х10С2М","1-17|40Х10С2М","z26_Fe","Fe","mc_fe_2062_bez_patcha","databases/diagnostic/fe/mc_fe_v2062_unpatched.thermogar.tdb","99b5cd56a52b857521122e93f61baf3caed120d1a37e562902ee6aa12f10692c","Lilit-skript","sloj","нет","1e-06","каскад свипов NP(LIQUID) (скрипт «Лилит»)","200","","","1671.6","1724.9","","1664.6","1724.9","44.3","2000","","","нет","4","LIQUID FCC_A1 BCC_A2 HCP_A3","FCC_A1","сторож движущей силы: проверено 80 из 80 пар «фаза-температура» (2 точки, 40 исключённых фаз); минимум 825 Дж/моль у BCC_B2","e0b7f5611f31f539"
